,Attraction,Subclass,Address,Participants
304,서울약령시 한의약박물관,박물관,서울특별시 동대문구 약령중앙로 26,71
305,서울마리나,요트,서울특별시 영등포구 여의서로 160,170
306,롯데시티호텔 명동,4성급,서울특별시 중구 삼일대로 362,321
307,아시아공원,근린공원,서울특별시 송파구 올림픽로 44,39
308,목3동시장,시장,서울특별시 양천구 목동중앙북로 29,77
309,하모니마트 명동역점,"슈퍼,마트",서울특별시 중구 명동10길 58 신일빌딩별관 지하1층,86
310,강남아르누보씨티호텔,4급,서울특별시 서초구 서초대로74길 49,50
311,가락몰,시장,서울특별시 송파구 양재대로 932 가락동 농수산물도매시장,12
312,63아트,아쿠아리움,서울특별시 영등포구 63로 50,252
313,목동종합운동장실내아이스링크,아이스링크,서울특별시 양천구 안양천로 939,637
314,오클라우드호텔,4급,서울특별시 서초구 사평대로58길 12,33
315,태릉골프장,스크린골프장,서울특별시 노원구 동일로 986 노원프레미어스엠코 지하2층,54
316,초안산캠핑장,"캠핑,야영장",서울특별시 노원구 마들로5가길 66-107,31
317,해주냉면 본점,냉면,서울특별시 송파구 백제고분로7길 8-16,"1,542"
318,충무로부산복집,복어요리,서울특별시 송파구 중대로27길 9-1 동호빌딩,53
319,평창동북악정 신관,"육류,고기요리",서울특별시 종로구 평창문화로 169,583
320,절두산 순교성지,"유적지,사적지",서울특별시 마포구 토정로 6,13
321,계림식당,닭볶음탕,서울특별시 종로구 돈화문로4길 39,"1,427"
322,자하손만두,만두,서울특별시 종로구 백석동길 12,"1,448"
323,한강공원 뚝섬 눈썰매장,눈썰매장,서울특별시 광진구 자양동 112 뚝섬 한강공원 수영장,506
324,키누카누,"일식,초밥뷔페","서울특별시 강서구 공항대로 247 퀸즈파크나인 b103, b104호","3,086"
325,청량리수산시장,시장,서울특별시 동대문구 고산자로34길 48-1 203호,15
326,라마다 호텔앤스위트 서울남대문,3급,서울특별시 중구 칠패로 27 라마다 호텔앤스위트 남대문,89
327,방이시장,시장,서울특별시 송파구 백제고분로48길 41,40
328,황생가칼국수,"칼국수,만두",서울특별시 종로구 북촌로5길 78,"4,157"
329,아모레 성수,"화장품,향수",서울특별시 성동구 아차산로11길 7 아모레성수,332
330,개봉중앙시장,시장,서울특별시 구로구 개봉로17길 34 중앙시장,20
331,부민옥,"육류,고기요리",서울특별시 중구 다동길 24-12,834
332,공릉동도깨비시장,시장,서울특별시 노원구 동일로180길 53,47
333,김가네가마솥설렁탕,소고기구이,서울특별시 강서구 방화동로 56 김가네설렁탕 1층,861
334,더리버사이드 호텔,3성급,서울특별시 서초구 강남대로107길 6 리버사이드호텔,138
335,서리풀공원,근린공원,서울특별시 서초구 서초동 1005-6,13
336,동작노을카페,"카페,디저트",서울특별시 동작구 동작대로 335,58
337,영등포전통시장,시장,서울특별시 영등포구 영등포동5가 33-29,80
338,비언유주얼,양식,서울특별시 강남구 선릉로108길 5 지하1층,436
